,all,bullet_slow,plasma_slow,bullet_fast,plasma_fast,bullet_turret,bullet_turret_mech,plasma_turret,explosion_small,explosion_small_old,explosion_large,collision,melee,cutting,burning,emp,laser,sniper,no_damage,needle
material,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
liquid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soft,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,1,1,0,1
soft_organic,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,0,1,1,0,1
soft_inorganic,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,1,1,0,1
tough,1,0.5,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,0,1
tough_organic,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,0,0.5
tough_inorganic,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,0,0.5
hard,1,1,0.5,1,1,1,1,1,1,1,1,1,0.5,0.5,1,0,1,1,0,0.5
hard_metal_thin,1,1,0.4,1,1,1,1,1,0.5,0.75,1,1,1,1,1,0,1,1,0,0.25
hard_metal_thick,1,0.25,0.125,0.5,0.25,0.75,0.75,0.5,0.5,0.5,0.75,0.75,0.25,0.25,0.75,0.001,1,1,0,0.13
hard_metal_solid,1,0.125,0.0625,0.25,0.125,0.5,0.5,0.25,0.45,0.45,0.5,0.5,0.125,0.125,0.5,0.001,0.5,0.75,0,0.06
hard_metal_invulnerable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hard_terrain,1,0.25,0,0.5,0.25,0.75,0.75,0.5,0.5,0.5,0.75,0.5,0.25,0.25,0,0,1,0.5,0,0
brittle,1,1,1,0.5,0.5,0.5,0.5,0.5,2,2,3,2,2,1,1,0,2,0.5,0,1
brittle_glass,1,1,0.25,0.5,0.5,0.5,0.5,0.5,2,2,3,2,2,1,1,0,2,0.5,0,0.25
brittle_elec,1,1,1.5,0.5,1,0.5,0.5,1,2,2,3,2,2,1,1,1,2,0.5,0,1.5
brittle_elec_hum_env,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
brittle_mech,1,1.5,1,1,0.5,1,1,0.5,2,2,3,2,2,1,1,0,2,1,0,1
brittle_explosive,1,0.5,1,0.5,1,0.5,0.5,1,2,2,3,2,2,1,2,0,2,0.5,0,1
energy,1,1,1.6,1,1,1,1,1,0.5,0.5,0.75,1,1,1,1,1,0.25,1,0,2
energy_shield_thin,1,1,1.6,1,1,1,1,1,0.5,0.5,0.75,1,1,1,2,1,0.25,1,0,2
energy_shield_thick,1,0.125,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0.75,1,0.5,1,1,0.25,0.75,0,1
energy_shield_solid,1,0.0625,0.75,0.125,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.5,1,0.25,0.5,0.5,0.25,0.5,0,0.5
energy_shield_invulnerable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
