,all,bullet_slow,bullet_fast,bullet_turret,sniper,needle,plasma_slow,plasma_fast,plasma_turret,laser,explosion_small,explosion_large,collision,melee,cutting,burning,emp,no_damage
material,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
liquid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soft,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0
soft_organic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0
soft_inorganic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0
tough,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0
tough_organic,1,0.5,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,2,0,0
tough_inorganic,1,0.5,1,1,1,0.5,0.5,1,1,1,1,1,1,1,2,1,0,0
hard,1,1,1,1,1,0.25,0.25,0.5,0.5,1,0.5,0.75,1,1,1,1,0,0
hard_metal_thin,1,1,1,1,1,0.25,0.25,0.5,0.5,1,0.5,0.75,1,1,1,1,0,0
hard_metal_thick,1,0.125,0.25,0.5,0.5,0,0,0.125,0.25,0.75,0.25,0.5,0.5,0,0,0.75,0.001,0
hard_metal_solid,1,0,0.125,0.25,0.25,0,0,0,0.125,0.5,0.2,0.25,0.25,0,0,0.5,0.001,0
hard_metal_invulnerable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hard_terrain,1,0,0.25,0.5,0.25,0,0,0,0.25,1,0.25,0.5,0.5,0,0,0,0,0
brittle,1,1,0.5,0.5,0.5,1,1,0.5,0.5,2,2,3,2,2,1,1,0,0
brittle_glass,1,1,0.5,0.5,0.5,0.25,0.25,0.5,0.5,2,2,3,2,2,1,1,0,0
brittle_elec,1,1,0.5,0.5,0.5,1.5,1.5,1,1,2,2,3,2,2,1,1,1,0
brittle_mech,1,1.5,1,1,1,1,1,0.5,0.5,2,2,3,2,2,1,1,0,0
brittle_explosive,1,0.5,0.5,0.5,0.5,1,1,1,1,2,2,3,2,2,1,2,0,0
energy,1,1,1,1,1,1,1.25,1,1,0.125,0.5,0.75,1,1,1,1,1,0
energy_shield_thin,1,0.25,0.25,0.5,0.5,1,1.25,1,1,0.125,0.25,0.5,1,0.5,0.5,2,0.5,0
energy_shield_thick,1,0,0.125,0.25,0.25,0.25,0.75,0.25,0.5,0.125,0.125,0.25,0.75,0.25,0.25,1,0.25,0
energy_shield_solid,1,0,0,0.125,0.125,0.125,0.5,0.125,0.25,0.125,0,0.125,0.5,0.125,0.125,0.5,0.125,0
energy_shield_invulnerable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
